Taxon_id,Official_name_NCBI
10090,Musmusculus
10093,Muspahari
10096,Musspretus
10103,Musspicilegus
10116,Rattusnorvegicus
10141,Caviaporcellus
10160,Octodondegus
10181,Heterocephalusglaber
10195,Brachionusplicatilis
10228,Trichoplaxadhaerens
12930,Amazonaaestiva
12957,Attacephalotes
13035,Dactylococcopsissalina
13146,Melopsittacusundulatus
13249,Rhodniusprolixus
13291,Tilletiacontroversa
13333,Amborellatrichopoda
13347,Armadillidiumvulgare
13370,Brettanomycesnaardenensis
13616,Monodelphisdomestica
13689,Sphingomonaspaucimobilis
13690,Sphingobiumyanoikuyae
13706,Syncephalastrumracemosum
13735,Pelodiscussinensis
15368,Brachypodiumdistachyon
22663,Punicagranatum
27334,Penicilliumexpansum
27342,Schizoporaparadoxa
27349,Pucciniasorghi
27687,Erpetoichthyscalabaricus
27835,Nippostrongylusbrasiliensis
28026,Bifidobacteriumpseudocatenulatum
28028,Corynebacteriumflavescens
28034,Sulfobacillusthermosulfidooxidans
28035,Staphylococcuslugdunensis
28038,Lactobacilluscurvatus
28042,Saccharopolysporarectivirgula
28045,Mycobacteriumcelatum
28047,Mycolicibacteriumconfluentis
28052,Lachnospirapectinoschiza
28066,Rhodoferaxfermentans
28072,PCC7524Nostoc
28082,Legionellaanisa
28083,Legionellabirminghamensis
28084,Legionellacherrii
28085,Legionellacincinnatiensis
28087,Legionellasainthelensi
28090,Acinetobacterlwoffii
28091,Neisseriaweaveri
28092,Robbsiaandropogonis
28094,Trinickiacaryophylli
28099,Agrobacteriumrubi
28108,Alteromonasmacleodii
28110,Francisellaphilomiragia
28115,Porphyromonasmacacae
28116,Bacteroidesovatus
28117,Alistipesputredinis
28122,Fibrobacterintestinalis
28125,Prevotellabivia
28128,Prevotellacorporis
28131,Prevotellaintermedia
28134,Prevotellaoralis
28136,Prevotellaoulorum
28141,Cronobactersakazakii
28152,Yersiniakristensenii
28173,Vibrionigripulchritudo
28176,CandidatusPhotodesmus
28181,Magnetovibrioblakemorei
28182,Leptospiranoguchii
28189,Capnocytophagacynodegmi
28198,Arcobactercryaerophilus
28200,Arcobacterskirrowii
28230,Carnobacteriumalterfunditum
28234,Geotogapetraea
28258,Cobetiamarina
28377,Anoliscarolinensis
28442,Haloarculavallismortis
28444,Herbidosporacretacea
28445,Mycobacteriumintermedium
28452,Leptospiraalstonii
28573,Talaromycesislandicus
28743,Cyprinodonvariegatus
28885,Hydrogenovibriomarinus
28892,Methanofollisliminatans
28898,Campylobacterhelveticus
28903,Mycoplasmabovis
29073,Ursusmaritimus
29088,Neomonachusschauinslandi
29139,Vombatusursinus
29170,Ancylostomacaninum
29172,Dictyocaulusviviparus
29313,Mycobacteriumshimoidei
29314,Mycolicibacterhiberniae
29320,Paenarthrobacternicotinovorans
29321,Corynebacteriumotitidis
29332,Domibacillusaminovorans
29341,Clostridiumargentinense
29343,[Clostridium]cellulosi
29349,[Clostridium]thermoalcaliphilum
29354,[Clostridium]celerecrescens
29364,[Clostridium]polysaccharolyticum
29367,Clostridiumpuniceum
29379,Staphylococcusauricularis
29382,Staphylococcuscohnii
29385,Staphylococcussaprophyticus
29394,Dolosigranulumpigrum
29421,Nitrobactervulgaris
29422,Legionellabrunensis
29430,Acinetobacterhaemolyticus
29433,Moraxellaovis
29435,Pseudomonasflavescens
29448,Bradyrhizobiumelkanii
29449,Rhizobiumetli
29466,Veillonellaparvula
29484,Yersiniafrederiksenii
29485,Yersiniarohdei
29486,Yersiniaruckeri
29488,Photorhabdusluminescens
29489,Aeromonasenteropelogenes
29491,Aeromonassalmonicida
29495,Vibrionavarrensis
29497,Vibriosplendidus
29518,Borreliellaafzelii
29519,Borreliellagarinii
29524,Porphyromonascircumdentaria
29529,Chitinophagaarvensicola
29533,Flavobacteriumpectinovorum
29534,Flavobacteriumsaccharophilum
29536,Flavobacteriumsuccinicans
29539,Thermoleophilumalbum
29540,Natrialbaasiatica
29542,Pelobacteracetylenicus
29554,Mycoplasmacanadense
29555,Mycoplasmacanis
29556,Mycoplasmagallinaceum
29557,Mycoplasmagallinarum
29559,Mycoplasmahyosynoviae
29561,Mycoplasmameleagridis
29563,Halanaerobiumsalsuginis
29571,Halomonassubglaciescola
29655,Zosteramarina
29730,Gossypiumraimondii
29760,Vitisvinifera
29833,Hanseniasporauvarum
29845,Penicilliumvulpinum
29920,Phytophthoracactorum
30019,Drosophilabusckii
30066,Anophelesmerus
30069,Anophelesstephensi
30419,Opisthocomushoazin
30464,Nothoproctaperdicaria
30521,Bosgrunniens
30522,Bosindicus
30538,Vicugnapacos
30608,Microcebusmurinus
30611,Otolemurgarnettii
30732,Oryziasmelastigma
31033,Takifugurubripes
31234,Caenorhabditisremanei
31246,Schistosomamattheei
31958,Amycolatopsisorientalis
31964,sepedonicusClavibacter
31965,tessellariusClavibacter
31967,Phenylobacteriumimmobile
32002,Achromobacterdenitrificans
32019,Campylobacterfetus
32020,venerealisCampylobacter
32024,Campylobactersputorum
32040,Acidovoraxkonjaci
32049,PCC7002Synechococcus
32051,WH7803
32052,WH8020
32057,PCC7103Calothrix
32264,Tetranychusurticae
32473,Xiphophoruscouchianus
32507,Neolamprologusbrichardi
33007,Winkianeuii
33010,Cutibacteriumavidum
